source,english_sentence,hindi_sentence
tides,He declares the result and reports it to the Election Commission and to the Secretary-General of the concerned House .,वही परिणाम की घोषणा करता है और निर्वाचन आयोग को और संबद्ध सदन के महासचिव को उसकी सूचना देता है .
ted,was a little uncomfortable for them.,थोडा कठिन था।
indic2012,But Mulla Assamudin was proved to be not eligible.,मगर मुल्ला असमुद्दीन अक्षम सिद्ध हुए।
ted,I would never have to make a book and then present it to a gallery,मुझे कभी भी किताब बना कर किसी प्रदर्शन-स्थल को देने की ज़रुरत नहीं पड़ी
indic2012,headind kaun banega crorepati,शीर्षक कौन बनेगा करोड़पति (Kaun Banega Crorepati).
tides,No other national leader except Nehru shared that concern .,नेहरू को छोड़कर और किसी भी राष्ट्र नेता के मन में यह चिंता नहीं थे .
indic2012,Bachchan continued togive their support to the Samajvadi party which included political propaganda and promotions.,बच्चन ने समाजवादी पार्टी के लिए अपना समर्थन देना जारी रखा जिसमें राजनैतिक अभियान अर्थात प्रचार प्रसार करना शामिल था।
tides,"Innocent people were shot , arrested , jailed and tortured by the British rulers .","अंग्रेज शासकों ने निर्दोष लोगों की जान ली , उन्हें पकड़कर जेलों में बंद किया और यातनाएं दीं ."
tides,It means that fascism will make a triumphant attempt at world dominion in cooperation with the fascism of Japan .,इसका मतलब है कि फासिस्टवाद जापान के फासिस्टवाद के साथ मिलकर सारी दुनिया पर कामयाबी के साथ कब्जा करने की कोशिश करेगा .
ted,"Just as the poets and writers described,","जैसे कवियों और लेखकों ने वर्णन किया है,"
tides,The rich flora of Central America is under threat .,मध्य अमेरिकी बहुमूल्य वनस्पति खतरे में है .
tides,What if I need general information about applying for a work permit ?,अगर मुझे वर्क परमिट के आवेदन करने के बारे में आम सूचना चाहिए तो क्या करूँ ? .
ted,But kids could be entrepreneurs as well.,मगर हमारे बच्चे भी उद्यमी बन सकते हैं ।
tides,"It declined to 85 per cent in the early years of the Third Plan but improved to 90 per cent in the mid-sixties , only to decline in the following years to 70 per cent .","तीसरी योजना के शुरू के वर्षों में , यह घटकर 85 प्रतिशत रह गया.बाद के वर्षों में इसमें विकास हुआ और छठे दशक के मधऋद्दय 90 प्रतिशत हुआ लेकिन आगामी वार्षिक योजनाओं में 70 प्रितशत इसमें गिरावट आ गइ- ."
indic2012,Two or more components of a formal organization,दो या अधिक संघटको का औपचारिक संगठन
tides,But though the Union Government and some states have done a great deal for the expansion of education at all levels we are still far from realising the objective of eight years ' compulsory education for all .,"किंतु यद्यपि केंद्रीय सरकार तथा कुछ राजऋ-ऊण्श्छ्ष्-यो ने सभी सऋ-ऊण्श्छ्ष्-तरों पर शिक्षा के विसऋ-ऊण्श्छ्ष्-तार के क्षेत्र में बहुत कार्य किया है , तो भी हम अब भी आठ वर्ष की अनिवार्य शिक्षा के उद्देशऋ-ऊण्श्छ्ष्-य की पूर्ति करने में बहुत पीछे हैं ."
indic2012,Subashbabu went there and gave his condolences to Pandit Jawaharrlal Nehru.,सुभाषबाबू ने वहाँ जाकर पंडित जवाहरलाल नेहरू को सांत्वना दिया।
indic2012,Searcheses on research articles in Indian Universities based on Sanskrit.,भारतीय विश्वविद्यालयों में संस्कृत पर आधारित शोध प्रबन्धों की निर्देशिका (राष्ट्रीय संस्कृत संस्थान)
tides,"Petroleum resources were confined mainly to Burma and most of , the output was supplied to the mainland .",पेट्रोलियम संसाधन मुख़्य रूप से बर्मा तक ही सीमित थे और अधिकांश उत्पादन मुख़्य देश को ही दिया जाता था .
tides,Ornaments would mar our union ; they would come between Thee and me ; their jingling would drown our whispers . ”,"ये आवरण हमारे मिलन में बाधक हैं- ये उनके और मेरे संयोग में बाधक हैं , उनकी झंकार में हमारी फुसफुसाहट डूब जाएगी . ?"
ted,is transmitted generation from generation,पीढी दर पीढी चलती आ रही है
ted,"Now, he tries E again, and that doesn't work.","अब वो फिर ई लगाते हैं, और वह काम नहीं करता."
tides,A Rs 100-crore road-widening project is on the anvil .,सड़ेक चौड़ी करने की 100 करोड़े रु.की परियोजना भी बन रही है .
tides,"The unfinished rock-cut temples at Vilappakkam -LRB- North Arcot district -RRB- and Aragandanallur -LRB- South Arcot district -RRB- would also , on stylistic grounds , belong to the Mahendra style .","विलप्पक़्कम ( उत्तरी अरकॉट जिला ) और अरंगदनल्लुर ( दक्षिण अरकॉट जिला ) स्थित चट्टान में काटे गए अपूर्व गुफा मंदिर भी , शैलीगत आधार पर महेंद्र शैली के हैं ."
indic2012,"Sure has also written supplicatory poems, in which, at places, his feeling of surrender to the God surpasses even Tulsidas.",5. सूर ने विनय के पद भी रचे हैं जिसमें उनकी दास्य-भावना कहीं-कहीं तुलसीदास से आगे बढ़ जाती है-
indic2012,effect on COPD,COPD पर प्रभाव
ted,"die a year from diarrhea,","हर साल दस्त के रोग से मरते हैं,"
ted,"The first is the fall of Granada,","पहली तो ग्रानादा का ध्वस्त होना,"
ted,doesn't allow them to learn.,से उन्हें सीखने का मौका नहीं मिलता है।
indic2012,"This son Humayun, has heard his name being being called as Jalaoudin Mohammad.",इस पुत्र का नाम हुमायुं ने एक बार स्वप्न में सुनाई दिये के अनुसार जलालुद्दीन मोहम्मद रखा।
indic2012,"During his days of struggle, he lived for seven long years in the home of actor, director and king of comedy, Mehmood.",अपने संघर्ष के दिनों में वे ७ (सात) वर्ष की लंबी अवधि तक अभिनेता निर्देशक एवं हास्य अभिनय के बादशाह महमूद साहब के घर में रूके रहे।
tides,"THE KERALA TEMPLE TYPES The Kerala temples form a class by themselves because of the material used in their construction that includes timber to a large extent , as was the case everywhere in south India before the advent of the stone vimanas .","केरल मंदिरों के प्रकार केरल के मंदिरों का अपने आप में एक अलग वर्ग ही है.कऋ-ऊण्श्छ्ष्-योंकि उनके निर्माण में एक सीमा तक इमारती लकडऋई समऋ-ऊण्श्छ्ष्-मिलित थी , जैसा कि पाषाण विमानों के आरंभ के पुर्व दक्षिण भारत में हर कहीं यही सऋ-ऊण्श्छ्ष्-थित है ."
indic2012,Advertising Bhaghat Singh as a negative figure(sunday),विज्ञापन में भगत सिंह की गलत तस्वीर (रविवार)
indic2012,the british troops charged those who took part in it,इन प्रदर्शनों मे भाग लेने वालों पर अंग्रेजी शासन ने लाठीचार्ज भी किया ।
